"","product_category","star_rating","word.stem","frequency"
"1","Digital_Ebook_Purchase",1,"abandon",906
"2","Digital_Ebook_Purchase",1,"abbi",484
"3","Digital_Ebook_Purchase",1,"abil",1862
"4","Digital_Ebook_Purchase",1,"abrupt",1246
"5","Digital_Ebook_Purchase",1,"absolut",7874
"6","Digital_Ebook_Purchase",1,"absorb",638
"7","Digital_Ebook_Purchase",1,"abus",4594
"8","Digital_Ebook_Purchase",1,"academ",36
"9","Digital_Ebook_Purchase",1,"accept",3335
"10","Digital_Ebook_Purchase",1,"access",1492
"11","Digital_Ebook_Purchase",1,"accid",782
"12","Digital_Ebook_Purchase",1,"accomplish",787
"13","Digital_Ebook_Purchase",1,"account",3141
"14","Digital_Ebook_Purchase",1,"accur",1550
"15","Digital_Ebook_Purchase",1,"achiev",755
"16","Digital_Ebook_Purchase",1,"acknowledg",96
"17","Digital_Ebook_Purchase",1,"act",4244
"18","Digital_Ebook_Purchase",1,"action",5953
"19","Digital_Ebook_Purchase",1,"activ",1715
"20","Digital_Ebook_Purchase",1,"actual",5398
"21","Digital_Ebook_Purchase",1,"ad",3692
"22","Digital_Ebook_Purchase",1,"adam",692
"23","Digital_Ebook_Purchase",1,"adapt",147
"24","Digital_Ebook_Purchase",1,"add",4160
"25","Digital_Ebook_Purchase",1,"addict",848
"26","Digital_Ebook_Purchase",1,"addit",2752
"27","Digital_Ebook_Purchase",1,"address",1580
"28","Digital_Ebook_Purchase",1,"admir",700
"29","Digital_Ebook_Purchase",1,"admit",2782
"30","Digital_Ebook_Purchase",1,"adopt",589
"31","Digital_Ebook_Purchase",1,"ador",452
"32","Digital_Ebook_Purchase",1,"adult",3746
"33","Digital_Ebook_Purchase",1,"advanc",1293
"34","Digital_Ebook_Purchase",1,"advantag",680
"35","Digital_Ebook_Purchase",1,"adventur",1388
"36","Digital_Ebook_Purchase",1,"advertis",1840
"37","Digital_Ebook_Purchase",1,"advic",4172
"38","Digital_Ebook_Purchase",1,"advis",534
"39","Digital_Ebook_Purchase",1,"affair",724
"40","Digital_Ebook_Purchase",1,"affect",833
"41","Digital_Ebook_Purchase",1,"afraid",1060
"42","Digital_Ebook_Purchase",1,"africa",53
"43","Digital_Ebook_Purchase",1,"afternoon",311
"44","Digital_Ebook_Purchase",1,"age",4191
"45","Digital_Ebook_Purchase",1,"agenda",97
"46","Digital_Ebook_Purchase",1,"agent",940
"47","Digital_Ebook_Purchase",1,"ago",2899
"48","Digital_Ebook_Purchase",1,"agre",4056
"49","Digital_Ebook_Purchase",1,"ahead",1546
"50","Digital_Ebook_Purchase",1,"aid",601
"51","Digital_Ebook_Purchase",1,"aiden",2
"52","Digital_Ebook_Purchase",1,"aim",19
"53","Digital_Ebook_Purchase",1,"air",1074
"54","Digital_Ebook_Purchase",1,"al",693
"55","Digital_Ebook_Purchase",1,"alcohol",669
"56","Digital_Ebook_Purchase",1,"alert",1285
"57","Digital_Ebook_Purchase",1,"alex",632
"58","Digital_Ebook_Purchase",1,"alexand",50
"59","Digital_Ebook_Purchase",1,"alic",267
"60","Digital_Ebook_Purchase",1,"alien",1372
"61","Digital_Ebook_Purchase",1,"alik",190
"62","Digital_Ebook_Purchase",1,"aliv",772
"63","Digital_Ebook_Purchase",1,"alli",313
"64","Digital_Ebook_Purchase",1,"allow",2420
"65","Digital_Ebook_Purchase",1,"alot",826
"66","Digital_Ebook_Purchase",1,"alpha",729
"67","Digital_Ebook_Purchase",1,"alter",41
"68","Digital_Ebook_Purchase",1,"altern",1192
"69","Digital_Ebook_Purchase",1,"amanda",178
"70","Digital_Ebook_Purchase",1,"amaz",2856
"71","Digital_Ebook_Purchase",1,"amazon",23449
"72","Digital_Ebook_Purchase",1,"amazon.com",402
"73","Digital_Ebook_Purchase",1,"america",1768
"74","Digital_Ebook_Purchase",1,"american",3678
"75","Digital_Ebook_Purchase",1,"ami",389
"76","Digital_Ebook_Purchase",1,"amish",450
"77","Digital_Ebook_Purchase",1,"amount",2906
"78","Digital_Ebook_Purchase",1,"amus",948
"79","Digital_Ebook_Purchase",1,"ana",593
"80","Digital_Ebook_Purchase",1,"analysi",755
"81","Digital_Ebook_Purchase",1,"ancient",740
"82","Digital_Ebook_Purchase",1,"andi",104
"83","Digital_Ebook_Purchase",1,"andrew",679
"84","Digital_Ebook_Purchase",1,"anecdot",26
"85","Digital_Ebook_Purchase",1,"angel",1454
"86","Digital_Ebook_Purchase",1,"anger",749
"87","Digital_Ebook_Purchase",1,"angl",25
"88","Digital_Ebook_Purchase",1,"angri",1885
"89","Digital_Ebook_Purchase",1,"angst",513
"90","Digital_Ebook_Purchase",1,"anim",1858
"91","Digital_Ebook_Purchase",1,"anita",185
"92","Digital_Ebook_Purchase",1,"ann",963
"93","Digital_Ebook_Purchase",1,"anna",326
"94","Digital_Ebook_Purchase",1,"anni",10
"95","Digital_Ebook_Purchase",1,"annoy",6648
"96","Digital_Ebook_Purchase",1,"answer",3356
"97","Digital_Ebook_Purchase",1,"antholog",179
"98","Digital_Ebook_Purchase",1,"anti",1519
"99","Digital_Ebook_Purchase",1,"anticip",674
"100","Digital_Ebook_Purchase",1,"anxious",315
"101","Digital_Ebook_Purchase",1,"anymor",2695
"102","Digital_Ebook_Purchase",1,"apocalyps",122
"103","Digital_Ebook_Purchase",1,"apocalypt",255
"104","Digital_Ebook_Purchase",1,"app",2032
"105","Digital_Ebook_Purchase",1,"appar",4848
"106","Digital_Ebook_Purchase",1,"appeal",1607
"107","Digital_Ebook_Purchase",1,"appear",4795
"108","Digital_Ebook_Purchase",1,"appl",165
"109","Digital_Ebook_Purchase",1,"appli",1123
"110","Digital_Ebook_Purchase",1,"applic",668
"111","Digital_Ebook_Purchase",1,"appreci",537
"112","Digital_Ebook_Purchase",1,"approach",1391
"113","Digital_Ebook_Purchase",1,"april",71
"114","Digital_Ebook_Purchase",1,"arc",315
"115","Digital_Ebook_Purchase",1,"argu",209
"116","Digital_Ebook_Purchase",1,"argument",1633
"117","Digital_Ebook_Purchase",1,"arm",831
"118","Digital_Ebook_Purchase",1,"armi",683
"119","Digital_Ebook_Purchase",1,"arrang",134
"120","Digital_Ebook_Purchase",1,"arriv",924
"121","Digital_Ebook_Purchase",1,"arsen",9
"122","Digital_Ebook_Purchase",1,"art",1917
"123","Digital_Ebook_Purchase",1,"articl",2970
"124","Digital_Ebook_Purchase",1,"artist",907
"125","Digital_Ebook_Purchase",1,"ash",133
"126","Digital_Ebook_Purchase",1,"ashley",99
"127","Digital_Ebook_Purchase",1,"asin",840
"128","Digital_Ebook_Purchase",1,"aspect",1620
"129","Digital_Ebook_Purchase",1,"ass",679
"130","Digital_Ebook_Purchase",1,"assassin",510
"131","Digital_Ebook_Purchase",1,"assign",1005
"132","Digital_Ebook_Purchase",1,"assist",646
"133","Digital_Ebook_Purchase",1,"assum",2685
"134","Digital_Ebook_Purchase",1,"assur",44
"135","Digital_Ebook_Purchase",1,"atmospher",191
"136","Digital_Ebook_Purchase",1,"attach",674
"137","Digital_Ebook_Purchase",1,"attack",1856
"138","Digital_Ebook_Purchase",1,"attempt",6861
"139","Digital_Ebook_Purchase",1,"attend",610
"140","Digital_Ebook_Purchase",1,"attent",3608
"141","Digital_Ebook_Purchase",1,"attitud",1018
"142","Digital_Ebook_Purchase",1,"attract",2017
"143","Digital_Ebook_Purchase",1,"aubrey",4
"144","Digital_Ebook_Purchase",1,"audienc",1563
"145","Digital_Ebook_Purchase",1,"aunt",426
"146","Digital_Ebook_Purchase",1,"austen",142
"147","Digital_Ebook_Purchase",1,"australia",93
"148","Digital_Ebook_Purchase",1,"authent",457
"149","Digital_Ebook_Purchase",1,"author",83900
"150","Digital_Ebook_Purchase",1,"ava",82
"151","Digital_Ebook_Purchase",1,"averag",1496
"152","Digital_Ebook_Purchase",1,"averi",51
"153","Digital_Ebook_Purchase",1,"avid",1158
"154","Digital_Ebook_Purchase",1,"avoid",3454
"155","Digital_Ebook_Purchase",1,"aw",6806
"156","Digital_Ebook_Purchase",1,"await",301
"157","Digital_Ebook_Purchase",1,"awaken",94
"158","Digital_Ebook_Purchase",1,"awar",1508
"159","Digital_Ebook_Purchase",1,"award",195
"160","Digital_Ebook_Purchase",1,"awesom",1229
"161","Digital_Ebook_Purchase",1,"awhil",398
"162","Digital_Ebook_Purchase",1,"awkward",1620
"163","Digital_Ebook_Purchase",1,"babi",2545
"164","Digital_Ebook_Purchase",1,"background",2016
"165","Digital_Ebook_Purchase",1,"bad",31237
"166","Digital_Ebook_Purchase",1,"bag",117
"167","Digital_Ebook_Purchase",1,"bake",243
"168","Digital_Ebook_Purchase",1,"balanc",730
"169","Digital_Ebook_Purchase",1,"baldacci",46
"170","Digital_Ebook_Purchase",1,"ball",775
"171","Digital_Ebook_Purchase",1,"band",467
"172","Digital_Ebook_Purchase",1,"bank",842
"173","Digital_Ebook_Purchase",1,"banter",154
"174","Digital_Ebook_Purchase",1,"bar",1095
"175","Digital_Ebook_Purchase",1,"bare",3426
"176","Digital_Ebook_Purchase",1,"bargain",110
"177","Digital_Ebook_Purchase",1,"base",7074
"178","Digital_Ebook_Purchase",1,"basebal",70
"179","Digital_Ebook_Purchase",1,"basi",909
"180","Digital_Ebook_Purchase",1,"basic",9571
"181","Digital_Ebook_Purchase",1,"battl",1187
"182","Digital_Ebook_Purchase",1,"bdsm",1083
"183","Digital_Ebook_Purchase",1,"beach",655
"184","Digital_Ebook_Purchase",1,"bear",1157
"185","Digital_Ebook_Purchase",1,"beast",185
"186","Digital_Ebook_Purchase",1,"beat",1408
"187","Digital_Ebook_Purchase",1,"beauti",2994
"188","Digital_Ebook_Purchase",1,"bed",1640
"189","Digital_Ebook_Purchase",1,"bedroom",61
"190","Digital_Ebook_Purchase",1,"bedtim",10
"191","Digital_Ebook_Purchase",1,"beg",611
"192","Digital_Ebook_Purchase",1,"begin",9436
"193","Digital_Ebook_Purchase",1,"beginn",679
"194","Digital_Ebook_Purchase",1,"behavior",1971
"195","Digital_Ebook_Purchase",1,"belief",2075
"196","Digital_Ebook_Purchase",1,"believ",5855
"197","Digital_Ebook_Purchase",1,"bell",230
"198","Digital_Ebook_Purchase",1,"bella",267
"199","Digital_Ebook_Purchase",1,"belong",1015
"200","Digital_Ebook_Purchase",1,"belov",299
"201","Digital_Ebook_Purchase",1,"ben",381
"202","Digital_Ebook_Purchase",1,"benefit",1573
"203","Digital_Ebook_Purchase",1,"bet",448
"204","Digital_Ebook_Purchase",1,"beth",55
"205","Digital_Ebook_Purchase",1,"betray",579
"206","Digital_Ebook_Purchase",1,"bianca",1
"207","Digital_Ebook_Purchase",1,"bias",450
"208","Digital_Ebook_Purchase",1,"bibl",4754
"209","Digital_Ebook_Purchase",1,"biblic",915
"210","Digital_Ebook_Purchase",1,"bigger",520
"211","Digital_Ebook_Purchase",1,"biggest",1427
"212","Digital_Ebook_Purchase",1,"bill",1207
"213","Digital_Ebook_Purchase",1,"billi",2
"214","Digital_Ebook_Purchase",1,"billionair",14
"215","Digital_Ebook_Purchase",1,"bin",23
"216","Digital_Ebook_Purchase",1,"biographi",933
"217","Digital_Ebook_Purchase",1,"bird",303
"218","Digital_Ebook_Purchase",1,"birth",733
"219","Digital_Ebook_Purchase",1,"birthday",56
"220","Digital_Ebook_Purchase",1,"bit",7938
"221","Digital_Ebook_Purchase",1,"bite",632
"222","Digital_Ebook_Purchase",1,"bitter",128
"223","Digital_Ebook_Purchase",1,"bizarr",48
"224","Digital_Ebook_Purchase",1,"black",3073
"225","Digital_Ebook_Purchase",1,"blah",729
"226","Digital_Ebook_Purchase",1,"blair",79
"227","Digital_Ebook_Purchase",1,"blake",308
"228","Digital_Ebook_Purchase",1,"blame",1353
"229","Digital_Ebook_Purchase",1,"blay",12
