"","product_category","star_rating","word.stem","frequency"
"1","Electronics",1,"aa",1632
"2","Electronics",1,"aaa",1079
"3","Electronics",1,"aac",31
"4","Electronics",1,"abc",250
"5","Electronics",1,"abil",1507
"6","Electronics",1,"absolut",7016
"7","Electronics",1,"abus",982
"8","Electronics",1,"ac",2651
"9","Electronics",1,"accept",3546
"10","Electronics",1,"access",2055
"11","Electronics",1,"accessori",1310
"12","Electronics",1,"accid",435
"13","Electronics",1,"accident",805
"14","Electronics",1,"accommod",271
"15","Electronics",1,"accompani",16
"16","Electronics",1,"account",1465
"17","Electronics",1,"accur",956
"18","Electronics",1,"achiev",343
"19","Electronics",1,"acoust",650
"20","Electronics",1,"act",1354
"21","Electronics",1,"action",709
"22","Electronics",1,"activ",3089
"23","Electronics",1,"actual",2839
"24","Electronics",1,"ad",3208
"25","Electronics",1,"adapt",15442
"26","Electronics",1,"adaptor",1490
"27","Electronics",1,"add",3580
"28","Electronics",1,"addit",3899
"29","Electronics",1,"address",2081
"30","Electronics",1,"adequ",823
"31","Electronics",1,"adhes",179
"32","Electronics",1,"adjust",6496
"33","Electronics",1,"admit",1212
"34","Electronics",1,"adult",178
"35","Electronics",1,"advanc",798
"36","Electronics",1,"advantag",444
"37","Electronics",1,"advertis",8535
"38","Electronics",1,"advic",2113
"39","Electronics",1,"advis",1911
"40","Electronics",1,"aesthet",269
"41","Electronics",1,"affect",607
"42","Electronics",1,"afford",902
"43","Electronics",1,"afraid",767
"44","Electronics",1,"age",743
"45","Electronics",1,"ago",10412
"46","Electronics",1,"agre",1747
"47","Electronics",1,"ah",52
"48","Electronics",1,"ahead",1326
"49","Electronics",1,"aid",159
"50","Electronics",1,"aim",210
"51","Electronics",1,"air",2061
"52","Electronics",1,"airplan",621
"53","Electronics",1,"airplay",707
"54","Electronics",1,"airport",477
"55","Electronics",1,"aiwa",100
"56","Electronics",1,"akg",271
"57","Electronics",1,"alarm",9466
"58","Electronics",1,"album",1805
"59","Electronics",1,"alert",826
"60","Electronics",1,"align",385
"61","Electronics",1,"alkalin",331
"62","Electronics",1,"allow",1472
"63","Electronics",1,"alot",922
"64","Electronics",1,"alphabet",66
"65","Electronics",1,"alright",309
"66","Electronics",1,"altec",701
"67","Electronics",1,"altern",1594
"68","Electronics",1,"altogeth",62
"69","Electronics",1,"aluminum",567
"70","Electronics",1,"amaz",2668
"71","Electronics",1,"amazon",38739
"72","Electronics",1,"amazon.com",1425
"73","Electronics",1,"amazonbas",133
"74","Electronics",1,"ambient",443
"75","Electronics",1,"american",372
"76","Electronics",1,"amount",3247
"77","Electronics",1,"amp",4815
"78","Electronics",1,"amplif",77
"79","Electronics",1,"amplifi",3815
"80","Electronics",1,"analog",2305
"81","Electronics",1,"anc",17
"82","Electronics",1,"anchor",352
"83","Electronics",1,"android",1510
"84","Electronics",1,"angl",2068
"85","Electronics",1,"anker",101
"86","Electronics",1,"annoy",5478
"87","Electronics",1,"answer",3270
"88","Electronics",1,"antenna",15086
"89","Electronics",1,"anti",150
"90","Electronics",1,"anticip",271
"91","Electronics",1,"anymor",4030
"92","Electronics",1,"anytim",30
"93","Electronics",1,"apart",566
"94","Electronics",1,"apc",1560
"95","Electronics",1,"app",3596
"96","Electronics",1,"appar",4526
"97","Electronics",1,"appeal",161
"98","Electronics",1,"appear",4687
"99","Electronics",1,"appl",12034
"100","Electronics",1,"appli",1160
"101","Electronics",1,"applianc",470
"102","Electronics",1,"applic",1527
"103","Electronics",1,"appreci",338
"104","Electronics",1,"approach",66
"105","Electronics",1,"approx",17
"106","Electronics",1,"approxim",896
"107","Electronics",1,"april",405
"108","Electronics",1,"arc",35
"109","Electronics",1,"archo",1200
"110","Electronics",1,"arm",2392
"111","Electronics",1,"armband",197
"112","Electronics",1,"arrang",173
"113","Electronics",1,"arriv",11350
"114","Electronics",1,"art",320
"115","Electronics",1,"articul",183
"116","Electronics",1,"artist",890
"117","Electronics",1,"asleep",364
"118","Electronics",1,"aspect",579
"119","Electronics",1,"assembl",1932
"120","Electronics",1,"assign",101
"121","Electronics",1,"assist",483
"122","Electronics",1,"assum",2858
"123","Electronics",1,"assur",519
"124","Electronics",1,"asus",356
"125","Electronics",1,"ath",156
"126","Electronics",1,"atmo",6
"127","Electronics",1,"atom",31
"128","Electronics",1,"atrac",91
"129","Electronics",1,"atracplus",1
"130","Electronics",1,"attach",4950
"131","Electronics",1,"attempt",4989
"132","Electronics",1,"attent",964
"133","Electronics",1,"attic",333
"134","Electronics",1,"attract",768
"135","Electronics",1,"audibl",1134
"136","Electronics",1,"audible.com",24
"137","Electronics",1,"audio",19246
"138","Electronics",1,"audiobook",755
"139","Electronics",1,"audiophil",1226
"140","Electronics",1,"audioquest",16
"141","Electronics",1,"audyssey",38
"142","Electronics",1,"august",425
"143","Electronics",1,"authent",87
"144","Electronics",1,"author",1327
"145","Electronics",1,"auto",1555
"146","Electronics",1,"automat",2152
"147","Electronics",1,"aux",1461
"148","Electronics",1,"auxiliari",244
"149","Electronics",1,"av",1383
"150","Electronics",1,"avail",655
"151","Electronics",1,"averag",1832
"152","Electronics",1,"avi",98
"153","Electronics",1,"avoid",5303
"154","Electronics",1,"avr",654
"155","Electronics",1,"aw",4822
"156","Electronics",1,"awar",1483
"157","Electronics",1,"awesom",2050
"158","Electronics",1,"awg",56
"159","Electronics",1,"awhil",775
"160","Electronics",1,"awkward",914
"161","Electronics",1,"awsom",7
"162","Electronics",1,"ax",3
"163","Electronics",1,"babi",910
"164","Electronics",1,"background",1818
"165","Electronics",1,"backlight",308
"166","Electronics",1,"backlit",35
"167","Electronics",1,"backpack",267
"168","Electronics",1,"backup",1595
"169","Electronics",1,"backward",598
"170","Electronics",1,"backyard",19
"171","Electronics",1,"bad",29475
"172","Electronics",1,"bag",2284
"173","Electronics",1,"balanc",845
"174","Electronics",1,"ball",439
"175","Electronics",1,"banana",218
"176","Electronics",1,"band",2600
"177","Electronics",1,"bang",464
"178","Electronics",1,"bank",201
"179","Electronics",1,"bar",2541
"180","Electronics",1,"bare",4900
"181","Electronics",1,"bargain",547
"182","Electronics",1,"base",8109
"183","Electronics",1,"basement",414
"184","Electronics",1,"basi",398
"185","Electronics",1,"basic",5863
"186","Electronics",1,"bass",10976
"187","Electronics",1,"bathroom",354
"188","Electronics",1,"batteri",48547
"189","Electronics",1,"bay",29
"190","Electronics",1,"bc",91
"191","Electronics",1,"bd",280
"192","Electronics",1,"beach",412
"193","Electronics",1,"beat",4055
"194","Electronics",1,"beauti",1161
"195","Electronics",1,"becuas",25
"196","Electronics",1,"bed",1089
"197","Electronics",1,"bedroom",1152
"198","Electronics",1,"bedsid",35
"199","Electronics",1,"beep",1553
"200","Electronics",1,"begin",3435
"201","Electronics",1,"belkin",1623
"202","Electronics",1,"bell",305
"203","Electronics",1,"belt",564
"204","Electronics",1,"bend",1415
