"","product_category","star_rating","word.stem","frequency"
"1","Books",1,"abandon",1583
"2","Books",1,"abil",3632
"3","Books",1,"absolut",10079
"4","Books",1,"absorb",1403
"5","Books",1,"abstract",47
"6","Books",1,"absurd",278
"7","Books",1,"abus",5078
"8","Books",1,"academ",3011
"9","Books",1,"accept",6943
"10","Books",1,"access",2461
"11","Books",1,"accid",1119
"12","Books",1,"accompani",937
"13","Books",1,"accomplish",2276
"14","Books",1,"account",7378
"15","Books",1,"accur",4404
"16","Books",1,"accuraci",127
"17","Books",1,"accus",2062
"18","Books",1,"achiev",2720
"19","Books",1,"acknowledg",1864
"20","Books",1,"act",6644
"21","Books",1,"action",8655
"22","Books",1,"activ",3282
"23","Books",1,"actor",930
"24","Books",1,"actual",6067
"25","Books",1,"ad",5404
"26","Books",1,"adam",1534
"27","Books",1,"adapt",921
"28","Books",1,"add",5797
"29","Books",1,"addict",1546
"30","Books",1,"addit",4959
"31","Books",1,"address",3877
"32","Books",1,"adequ",40
"33","Books",1,"administr",2157
"34","Books",1,"admir",2268
"35","Books",1,"admit",5912
"36","Books",1,"adolesc",298
"37","Books",1,"adopt",1992
"38","Books",1,"ador",527
"39","Books",1,"adult",3946
"40","Books",1,"advanc",4248
"41","Books",1,"advantag",1484
"42","Books",1,"adventur",2610
"43","Books",1,"advertis",2422
"44","Books",1,"advic",9476
"45","Books",1,"advis",2594
"46","Books",1,"advoc",475
"47","Books",1,"affair",1917
"48","Books",1,"affect",1836
"49","Books",1,"afford",148
"50","Books",1,"afghanistan",13
"51","Books",1,"afraid",2081
"52","Books",1,"africa",1400
"53","Books",1,"african",2299
"54","Books",1,"age",9511
"55","Books",1,"agenc",203
"56","Books",1,"agenda",1986
"57","Books",1,"agent",1883
"58","Books",1,"ago",6584
"59","Books",1,"agre",8901
"60","Books",1,"ahead",2032
"61","Books",1,"aid",1976
"62","Books",1,"aim",1642
"63","Books",1,"air",2546
"64","Books",1,"al",3356
"65","Books",1,"alan",23
"66","Books",1,"alcohol",1232
"67","Books",1,"alex",753
