"","product_category","star_rating","word.stem","frequency"
"1","Digital_Video_Download",1,"aaron",26
"2","Digital_Video_Download",1,"abandon",89
"3","Digital_Video_Download",1,"abbey",184
"4","Digital_Video_Download",1,"abbi",104
"5","Digital_Video_Download",1,"abc",12
"6","Digital_Video_Download",1,"abil",808
"7","Digital_Video_Download",1,"abrupt",29
"8","Digital_Video_Download",1,"absolut",5302
"9","Digital_Video_Download",1,"absorb",250
"10","Digital_Video_Download",1,"absurd",850
"11","Digital_Video_Download",1,"abus",985
"12","Digital_Video_Download",1,"academi",437
"13","Digital_Video_Download",1,"accent",1175
"14","Digital_Video_Download",1,"accept",1065
"15","Digital_Video_Download",1,"access",491
"16","Digital_Video_Download",1,"accid",439
"17","Digital_Video_Download",1,"accomplish",382
"18","Digital_Video_Download",1,"account",1347
"19","Digital_Video_Download",1,"accur",872
"20","Digital_Video_Download",1,"accuraci",93
"21","Digital_Video_Download",1,"achiev",351
"22","Digital_Video_Download",1,"act",28792
"23","Digital_Video_Download",1,"action",5755
"24","Digital_Video_Download",1,"activ",632
"25","Digital_Video_Download",1,"actor",13701
"26","Digital_Video_Download",1,"actress",1908
"27","Digital_Video_Download",1,"actual",2261
"28","Digital_Video_Download",1,"ad",1854
"29","Digital_Video_Download",1,"adam",569
"30","Digital_Video_Download",1,"adapt",832
"31","Digital_Video_Download",1,"add",1665
"32","Digital_Video_Download",1,"addict",537
"33","Digital_Video_Download",1,"addit",703
"34","Digital_Video_Download",1,"address",353
"35","Digital_Video_Download",1,"admir",267
"36","Digital_Video_Download",1,"admit",959
"37","Digital_Video_Download",1,"adopt",128
"38","Digital_Video_Download",1,"ador",248
"39","Digital_Video_Download",1,"adult",1837
"40","Digital_Video_Download",1,"advanc",462
"41","Digital_Video_Download",1,"advantag",13
"42","Digital_Video_Download",1,"adventur",504
"43","Digital_Video_Download",1,"advertis",1006
"44","Digital_Video_Download",1,"advic",195
"45","Digital_Video_Download",1,"affair",314
"46","Digital_Video_Download",1,"affect",348
"47","Digital_Video_Download",1,"affleck",44
"48","Digital_Video_Download",1,"afraid",356
"49","Digital_Video_Download",1,"african",181
"50","Digital_Video_Download",1,"afternoon",151
"51","Digital_Video_Download",1,"age",2108
"52","Digital_Video_Download",1,"agenda",477
"53","Digital_Video_Download",1,"agent",440
"54","Digital_Video_Download",1,"ago",1271
"55","Digital_Video_Download",1,"agre",1471
"56","Digital_Video_Download",1,"ah",21
"57","Digital_Video_Download",1,"ahead",633
"58","Digital_Video_Download",1,"ai",12
"59","Digital_Video_Download",1,"aid",88
"60","Digital_Video_Download",1,"aim",80
"61","Digital_Video_Download",1,"air",1163
"62","Digital_Video_Download",1,"al",307
"63","Digital_Video_Download",1,"alan",33
"64","Digital_Video_Download",1,"alcohol",507
"65","Digital_Video_Download",1,"alert",638
"66","Digital_Video_Download",1,"alex",41
"67","Digital_Video_Download",1,"alic",13
"68","Digital_Video_Download",1,"alien",2145
"69","Digital_Video_Download",1,"alik",124
"70","Digital_Video_Download",1,"aliv",431
"71","Digital_Video_Download",1,"allen",268
"72","Digital_Video_Download",1,"allow",925
"73","Digital_Video_Download",1,"alot",321
"74","Digital_Video_Download",1,"alpha",126
"75","Digital_Video_Download",1,"alright",155
"76","Digital_Video_Download",1,"altern",417
"77","Digital_Video_Download",1,"alzheim",2
"78","Digital_Video_Download",1,"amateur",50
"79","Digital_Video_Download",1,"amaz",1826
"80","Digital_Video_Download",1,"amazon",17012
"81","Digital_Video_Download",1,"amazon.com",78
"82","Digital_Video_Download",1,"amc",38
"83","Digital_Video_Download",1,"america",1197
"84","Digital_Video_Download",1,"american",3133
"85","Digital_Video_Download",1,"ami",365
"86","Digital_Video_Download",1,"amount",1024
"87","Digital_Video_Download",1,"amus",638
"88","Digital_Video_Download",1,"ancient",373
"89","Digital_Video_Download",1,"anderson",42
"90","Digital_Video_Download",1,"andi",124
"91","Digital_Video_Download",1,"andrew",12
"92","Digital_Video_Download",1,"angel",597
"93","Digital_Video_Download",1,"angelina",8
"94","Digital_Video_Download",1,"anger",45
"95","Digital_Video_Download",1,"angl",399
"96","Digital_Video_Download",1,"angri",842
"97","Digital_Video_Download",1,"angst",14
"98","Digital_Video_Download",1,"anim",3172
"99","Digital_Video_Download",1,"aniston",48
"100","Digital_Video_Download",1,"ann",208
"101","Digital_Video_Download",1,"anna",180
"102","Digital_Video_Download",1,"anni",84
"103","Digital_Video_Download",1,"annoy",3465
"104","Digital_Video_Download",1,"answer",872
"105","Digital_Video_Download",1,"anthoni",146
"106","Digital_Video_Download",1,"anti",1038
"107","Digital_Video_Download",1,"antic",72
"108","Digital_Video_Download",1,"anticip",233
"109","Digital_Video_Download",1,"anxious",72
"110","Digital_Video_Download",1,"anymor",1616
"111","Digital_Video_Download",1,"anytim",59
"112","Digital_Video_Download",1,"apart",40
"113","Digital_Video_Download",1,"ape",39
"114","Digital_Video_Download",1,"apocalyps",101
"115","Digital_Video_Download",1,"apocalypt",96
"116","Digital_Video_Download",1,"app",90
"117","Digital_Video_Download",1,"appar",2101
"118","Digital_Video_Download",1,"appeal",1127
"119","Digital_Video_Download",1,"appear",1993
"120","Digital_Video_Download",1,"appl",59
"121","Digital_Video_Download",1,"appli",117
"122","Digital_Video_Download",1,"appreci",256
"123","Digital_Video_Download",1,"approach",446
"124","Digital_Video_Download",1,"arc",218
"125","Digital_Video_Download",1,"archer",30
"126","Digital_Video_Download",1,"argo",17
"127","Digital_Video_Download",1,"argu",46
"128","Digital_Video_Download",1,"argument",365
"129","Digital_Video_Download",1,"ark",259
"130","Digital_Video_Download",1,"arm",499
"131","Digital_Video_Download",1,"armi",374
"132","Digital_Video_Download",1,"arnold",231
"133","Digital_Video_Download",1,"arrest",28
"134","Digital_Video_Download",1,"arriv",388
"135","Digital_Video_Download",1,"art",1723
"136","Digital_Video_Download",1,"arthur",26
"137","Digital_Video_Download",1,"artist",982
"138","Digital_Video_Download",1,"asin",13
"139","Digital_Video_Download",1,"asleep",1846
"140","Digital_Video_Download",1,"aspect",993
"141","Digital_Video_Download",1,"ass",590
"142","Digital_Video_Download",1,"assassin",71
"143","Digital_Video_Download",1,"assist",104
"144","Digital_Video_Download",1,"assum",866
"145","Digital_Video_Download",1,"atheist",383
"146","Digital_Video_Download",1,"atmospher",240
"147","Digital_Video_Download",1,"attach",259
"148","Digital_Video_Download",1,"attack",867
"149","Digital_Video_Download",1,"attempt",4105
"150","Digital_Video_Download",1,"attend",18
