"","product_category","star_rating","word.stem","frequency"
"1","Camera",1,"aa",1123
"2","Camera",1,"aaa",307
"3","Camera",1,"aberr",147
"4","Camera",1,"abil",1068
"5","Camera",1,"absolut",3464
"6","Camera",1,"abus",463
"7","Camera",1,"ac",903
"8","Camera",1,"accept",2328
"9","Camera",1,"accesori",9
"10","Camera",1,"access",2744
"11","Camera",1,"accessori",2222
"12","Camera",1,"accid",352
"13","Camera",1,"accident",453
"14","Camera",1,"accommod",201
"15","Camera",1,"accompani",8
"16","Camera",1,"accomplish",26
"17","Camera",1,"account",1152
"18","Camera",1,"accur",723
"19","Camera",1,"accuraci",64
"20","Camera",1,"achiev",299
"21","Camera",1,"acquir",20
"22","Camera",1,"act",714
"23","Camera",1,"action",1239
"24","Camera",1,"activ",1401
"25","Camera",1,"actual",1769
"26","Camera",1,"ad",2037
"27","Camera",1,"adapt",6169
"28","Camera",1,"adaptor",666
"29","Camera",1,"add",2183
"30","Camera",1,"addit",2672
"31","Camera",1,"address",2023
"32","Camera",1,"adequ",424
"33","Camera",1,"adhes",482
"34","Camera",1,"adjust",3838
"35","Camera",1,"admin",58
"36","Camera",1,"admit",688
"37","Camera",1,"adob",119
"38","Camera",1,"adorama",431
"39","Camera",1,"advanc",668
"40","Camera",1,"advantag",322
"41","Camera",1,"adventur",164
"42","Camera",1,"advertis",6000
"43","Camera",1,"advic",1057
"44","Camera",1,"advis",1122
"45","Camera",1,"ae",10
"46","Camera",1,"af",840
"47","Camera",1,"affect",465
"48","Camera",1,"afford",609
"49","Camera",1,"afraid",544
"50","Camera",1,"aftermarket",242
"51","Camera",1,"age",364
"52","Camera",1,"ago",5140
"53","Camera",1,"agre",1119
"54","Camera",1,"ahead",616
"55","Camera",1,"ai",49
"56","Camera",1,"aii",32
"57","Camera",1,"aim",326
"58","Camera",1,"aiptek",46
"59","Camera",1,"air",847
"60","Camera",1,"airport",27
"61","Camera",1,"al",16
"62","Camera",1,"alarm",1484
"63","Camera",1,"alaska",17
"64","Camera",1,"album",383
"65","Camera",1,"alert",979
"66","Camera",1,"align",597
"67","Camera",1,"alkalin",147
"68","Camera",1,"allen",52
"69","Camera",1,"allow",976
"70","Camera",1,"alot",410
"71","Camera",1,"alpha",377
"72","Camera",1,"alright",34
"73","Camera",1,"altern",797
"74","Camera",1,"aluminum",457
"75","Camera",1,"amateur",403
"76","Camera",1,"amaz",1301
"77","Camera",1,"amazon",21208
"78","Camera",1,"amazon.com",890
"79","Camera",1,"ambient",53
"80","Camera",1,"amount",1888
"81","Camera",1,"amp",105
"82","Camera",1,"analog",30
"83","Camera",1,"android",860
"84","Camera",1,"angl",2800
"85","Camera",1,"anim",187
"86","Camera",1,"annoy",1528
"87","Camera",1,"answer",2309
"88","Camera",1,"antenna",393
"89","Camera",1,"anti",287
"90","Camera",1,"anticip",233
"91","Camera",1,"anymor",1763
"92","Camera",1,"anytim",96
"93","Camera",1,"ap",182
"94","Camera",1,"apart",14
"95","Camera",1,"aperatur",3
"96","Camera",1,"aperlit",1
"97","Camera",1,"apertur",901
"98","Camera",1,"app",3678
"99","Camera",1,"appar",2385
"100","Camera",1,"appeal",34
"101","Camera",1,"appear",3524
"102","Camera",1,"appl",772
"103","Camera",1,"appli",896
"104","Camera",1,"applic",882
"105","Camera",1,"appreci",150
"106","Camera",1,"approach",70
"107","Camera",1,"approx",19
"108","Camera",1,"approxim",482
"109","Camera",1,"april",76
"110","Camera",1,"ar",139
"111","Camera",1,"arca",125
"112","Camera",1,"arlo",105
"113","Camera",1,"arm",1229
"114","Camera",1,"armor",29
"115","Camera",1,"arrang",28
"116","Camera",1,"arriv",6086
"117","Camera",1,"art",176
"118","Camera",1,"articul",37
"119","Camera",1,"artifact",61
"120","Camera",1,"artist",47
"121","Camera",1,"asa",5
"122","Camera",1,"aspect",359
"123","Camera",1,"assembl",1116
"124","Camera",1,"assign",95
"125","Camera",1,"assist",736
"126","Camera",1,"assum",1560
"127","Camera",1,"assur",372
"128","Camera",1,"astound",6
"129","Camera",1,"astronomi",21
"130","Camera",1,"attach",6352
"131","Camera",1,"attempt",2979
"132","Camera",1,"attent",664
"133","Camera",1,"attract",394
"134","Camera",1,"attribut",18
"135","Camera",1,"auction",14
"136","Camera",1,"audio",2466
"137","Camera",1,"august",107
"138","Camera",1,"author",69
"139","Camera",1,"auto",2904
"140","Camera",1,"autofocus",842
"141","Camera",1,"automat",1388
"142","Camera",1,"autostar",1
"143","Camera",1,"av",100
"144","Camera",1,"avail",222
"145","Camera",1,"avchd",61
"146","Camera",1,"averag",810
"147","Camera",1,"avi",104
"148","Camera",1,"avid",11
"149","Camera",1,"avoid",2497
"150","Camera",1,"aw",2376
"151","Camera",1,"awar",1115
"152","Camera",1,"awesom",940
"153","Camera",1,"awhil",318
"154","Camera",1,"awkward",485
"155","Camera",1,"axi",129
"156","Camera",1,"babi",1298
"157","Camera",1,"backdrop",665
"158","Camera",1,"background",892
"159","Camera",1,"backlight",4
"160","Camera",1,"backpack",709
"161","Camera",1,"backup",951
"162","Camera",1,"backward",341
"163","Camera",1,"bad",15310
"164","Camera",1,"bag",7596
"165","Camera",1,"balanc",1239
"166","Camera",1,"ball",1245
"167","Camera",1,"ballhead",137
"168","Camera",1,"band",648
"169","Camera",1,"bang",199
"170","Camera",1,"bank",109
"171","Camera",1,"bar",945
"172","Camera",1,"bare",2202
"173","Camera",1,"bargain",333
"174","Camera",1,"barlow",7
"175","Camera",1,"barrel",294
"176","Camera",1,"base",3989
"177","Camera",1,"basi",145
"178","Camera",1,"basic",3307
"179","Camera",1,"batter",161
"180","Camera",1,"batteri",65674
"181","Camera",1,"beach",841
"182","Camera",1,"beam",17
"183","Camera",1,"bear",224
"184","Camera",1,"beat",360
"185","Camera",1,"beauti",898
"186","Camera",1,"bebop",41
"187","Camera",1,"beep",347
"188","Camera",1,"begin",1562
"189","Camera",1,"beginn",230
"190","Camera",1,"bell",246
"191","Camera",1,"belt",554
"192","Camera",1,"bend",514
"193","Camera",1,"benefit",310
"194","Camera",1,"bent",368
"195","Camera",1,"bet",150
"196","Camera",1,"bewar",2932
"197","Camera",1,"bg",17
"198","Camera",1,"bigger",790
"199","Camera",1,"biggest",871
"200","Camera",1,"bike",461
"201","Camera",1,"bill",458
"202","Camera",1,"binoc",8
"203","Camera",1,"binocular",1089
"204","Camera",1,"bird",285
"205","Camera",1,"birthday",1134
"206","Camera",1,"bit",3744
"207","Camera",1,"black",5073
"208","Camera",1,"blade",194
"209","Camera",1,"blah",33
"210","Camera",1,"blame",93
"211","Camera",1,"blank",157
"212","Camera",1,"blast",21
"213","Camera",1,"blind",66
"214","Camera",1,"blink",1058
"215","Camera",1,"block",766
"216","Camera",1,"blog",26
"217","Camera",1,"bloggi",97
"218","Camera",1,"blow",510
"219","Camera",1,"blower",94
"220","Camera",1,"blown",203
"221","Camera",1,"blu",6
"222","Camera",1,"blue",1936
"223","Camera",1,"bluetooth",110
"224","Camera",1,"blur",1476
"225","Camera",1,"blurri",4453
"226","Camera",1,"board",907
"227","Camera",1,"boat",318
"228","Camera",1,"bodi",2819
"229","Camera",1,"bogen",12
"230","Camera",1,"bokeh",72
"231","Camera",1,"bolt",488
"232","Camera",1,"bonus",157
"233","Camera",1,"book",683
"234","Camera",1,"booklet",19
"235","Camera",1,"boom",230
"236","Camera",1,"boot",433
"237","Camera",1,"borrow",85
"238","Camera",1,"bother",1956
"239","Camera",1,"bottl",191
"240","Camera",1,"bottom",3282
"241","Camera",1,"bought",29921
"242","Camera",1,"bounc",509
"243","Camera",1,"box",11290
"244","Camera",1,"boy",480
"245","Camera",1,"boyfriend",11
"246","Camera",1,"bp",60
"247","Camera",1,"br",144140
"248","Camera",1,"bracket",1325
"249","Camera",1,"brainer",64
"250","Camera",1,"brand",8968
"251","Camera",1,"break",3369
"252","Camera",1,"breaker",229
"253","Camera",1,"breez",163
"254","Camera",1,"brick",190
"255","Camera",1,"bridg",98
"256","Camera",1,"bright",2756
"257","Camera",1,"brighter",159
"258","Camera",1,"brilliant",107
"259","Camera",1,"bring",1025
"260","Camera",1,"broke",8514
"261","Camera",1,"broken",5429
"262","Camera",1,"brother",301
"263","Camera",1,"brought",939
"264","Camera",1,"brown",78
"265","Camera",1,"browser",818
"266","Camera",1,"brush",374
"267","Camera",1,"btw",387
"268","Camera",1,"bubbl",796
"269","Camera",1,"buck",1922
"270","Camera",1,"buckl",275
"271","Camera",1,"budget",353
"272","Camera",1,"buen",1
"273","Camera",1,"buena",5
"274","Camera",1,"buffer",21
"275","Camera",1,"bug",670
"276","Camera",1,"build",1507
"277","Camera",1,"built",2232
"278","Camera",1,"bulb",1695
"279","Camera",1,"bulk",110
"280","Camera",1,"bulki",614
"281","Camera",1,"bulkier",20
"282","Camera",1,"bullet",26
"283","Camera",1,"bump",583
"284","Camera",1,"bunch",689
"285","Camera",1,"bundl",747
"286","Camera",1,"burn",1354
"287","Camera",1,"burner",40
"288","Camera",1,"burst",163
"289","Camera",1,"busi",2698
"290","Camera",1,"button",7815
"291","Camera",1,"buy",39602
"292","Camera",1,"buyer",2549
"293","Camera",1,"ca",115
"294","Camera",1,"cabl",7020
"295","Camera",1,"cage",43
"296","Camera",1,"cake",5
"297","Camera",1,"calibr",856
"298","Camera",1,"calidad",4
"299","Camera",1,"call",12506
"300","Camera",1,"cam",3291
"301","Camera",1,"camara",475
"302","Camera",1,"camcord",5682
"303","Camera",1,"camedia",16
"304","Camera",1,"camer",9
"305","Camera",1,"camera",179977
"306","Camera",1,"cameta",49
